header,clusters_(scd-q_net-hier),full_scd,loop_scd,full_net_q,loop_net_q
03779ae3a798,"(0, 0, 0)",4.4636,1.0237,-15.0,-8.0
03b21ddc25cc,"(2, 2, 0)",0.8501,2.4609,-8.0,-11.0
17513181d41f,"(2, 2, 0)",0.4576,0.9025,-7.0,-7.0
1d63aa5ab9e7,"(2, 2, 0)",0.1312,1.5895,-6.0,-10.0
205d67a139ec,"(2, 1, 0)",1.2501,1.7581,-9.0,-10.0
22bd625f6dd7,"(0, 0, 0)",3.3014,1.5644,-13.0,-9.0
272591fc81da,"(1, 1, 0)",2.3144,0.7149,-12.0,-7.0
328182f816f4,"(2, 2, 1)",0.3414,1.7076,-7.0,-10.0
339a89f69519,"(2, 2, 0)",0.4197,1.9871,-7.0,-10.0
3ff5e58f4e09,"(2, 2, 2)",-0.0763,1.6964,-6.0,-10.0
532613b0c062,"(0, 0, 0)",5.6441,0.4489,-17.0,-6.0
58bbe9578929,"(0, 0, 0)",3.3621,1.4354,-13.0,-9.0
5d2f261a4ccc,"(2, 2, 0)",0.8575,1.2575,-8.0,-9.0
610cdacc343c,"(2, 1, 1)",1.1069,0.6808,-9.0,-7.0
65453c446ca5,"(0, 0, 0)",4.2624,2.49,-15.0,-11.0
781f64857c75,"(2, 1, 1)",0.954,1.2202,-9.0,-8.0
7ac828fb0c62,"(1, 1, 1)",1.4428,2.4091,-10.0,-12.0
7f501074937c,"(0, 0, 0)",3.2238,0.9537,-13.0,-8.0
82eefe2ec15e,"(1, 1, 0)",2.6317,0.4757,-12.0,-6.0
8af3aba2034a,"(0, 0, 0)",4.5738,3.5097,-15.0,-14.0
a3811226712c,"(1, 1, 0)",2.5152,1.5297,-12.0,-9.0
b00ad81ea1fa,"(0, 0, 1)",4.0463,0.3687,-14.0,-5.0
b6c79d7f30e2,"(2, 2, 2)",-0.0003,2.3762,-7.0,-11.0
b91500ee3c57,"(1, 1, 0)",1.9511,0.8376,-12.0,-8.0
d09919514742,"(0, 0, 1)",4.0612,2.9417,-14.0,-12.0
d2808f55aaca,"(1, 1, 0)",1.8237,3.4544,-10.0,-13.0
d63691ebbe6a,"(0, 0, 2)",3.0823,1.9114,-14.0,-10.0
dd4f11bf9f22,"(1, 1, 2)",1.8606,1.5015,-10.0,-9.0
e2fa728f2ce4,"(0, 0, 0)",3.6856,5.3269,-14.0,-16.0
f791f4c8361c,"(1, 1, 0)",2.1503,1.541,-12.0,-9.0
f9baa4c9144a,"(2, 1, 1)",0.7795,1.9016,-10.0,-10.0
fede5073612c,"(1, 1, 1)",1.3984,1.4567,-10.0,-9.0
