header,cluster,length,scd,shd,nu,mean_lambda,net_q,abs_q,f_pos,f_neg,helix_percent,sheet_percent,loop_percent
17513181d41f,1,143,0.457559,4.061345,0.532591,0.443916,-7.000,73.000,33.000,-40.000,0.650,0.056, 0.133
205d67a139ec,1,143,1.250085,4.108153,0.536476,0.450147,-9.000,71.000,31.000,-40.000,0.650,0.056, 0.133
272591fc81da,0,143,2.314378,4.145989,0.542751,0.454699,-12.000,72.000,30.000,-42.000,0.650,0.056, 0.147
65453c446ca5,2,143,4.262423,3.952872,0.565335,0.433580,-15.000,77.000,31.000,-46.000,0.650,0.056, 0.147
7f501074937c,0,143,3.223845,4.122010,0.550495,0.450608,-13.000,73.000,30.000,-43.000,0.650,0.056, 0.133
8af3aba2034a,2,143,4.573761,3.908990,0.569496,0.428399,-15.000,77.000,31.000,-46.000,0.650,0.056, 0.140
a3811226712c,0,143,2.515166,4.039219,0.548753,0.442510,-12.000,74.000,31.000,-43.000,0.650,0.056, 0.147
b6c79d7f30e2,1,143,-0.000283,3.947347,0.534025,0.431476,-7.000,79.000,36.000,-43.000,0.650,0.056, 0.154
d09919514742,2,143,4.061235,4.119658,0.556792,0.450392,-14.000,72.000,29.000,-43.000,0.650,0.070, 0.133
d63691ebbe6a,2,143,3.082260,3.991426,0.554971,0.437063,-14.000,76.000,31.000,-45.000,0.650,0.056, 0.154
dd4f11bf9f22,1,143,1.860640,4.041029,0.543833,0.442580,-10.000,74.000,32.000,-42.000,0.650,0.056, 0.154
f791f4c8361c,0,143,2.150319,4.062497,0.545069,0.443678,-12.000,74.000,31.000,-43.000,0.650,0.056, 0.133
fede5073612c,1,143,1.398419,4.019698,0.541315,0.440042,-10.000,76.000,33.000,-43.000,0.650,0.070, 0.133
